nn: false ; neighbourhood: swap ; cooling: geo ; alfa: 0.99 ; T_max: 1000
V;sredniczas[ms];sredniwzgledny;sredniWzg[%];sredniBezWzg
137;5757.75;1.09;108.70;75933.60;
150;31289.51;1.23;123.22;32197.80;
200;18880.04;1.41;141.18;41559.20;
nn: false ; neighbourhood: swap ; tabu list size: 100 ; cadence: 50
V;sredniczas[ms];sredniwzgledny;sredniWzg[%];sredniBezWzg
5;0.02;0.00;0.00;0.00;
6;0.03;0.00;0.00;0.00;
7;0.05;0.00;0.00;0.00;
8;0.26;0.00;0.00;0.00;
9;0.80;0.00;0.00;0.00;
10;0.69;0.00;0.00;0.00;
11;1.82;0.00;0.00;0.00;
12;17.27;0.00;0.23;0.40;
13;51.49;0.01;0.69;1.20;
5;0.03;0.00;0.00;0.00;
6;0.04;0.00;0.00;0.00;
7;0.10;0.00;0.00;0.00;
8;0.25;0.00;0.00;0.00;
9;0.68;0.00;0.00;0.00;
10;0.31;0.00;0.00;0.00;
11;0.25;0.00;0.00;0.00;
12;0.97;0.00;0.00;0.00;
13;0.53;0.00;0.00;0.00;
17;87.52;0.13;12.99;10.00;
34;486.34;0.31;31.26;402.00;
65;1436.52;0.63;62.74;1153.80;
100;5815.80;0.71;71.08;25752.00;
171;20582.27;1.68;167.77;4622.00;
14;41.69;0.02;2.37;78.60;
29;245.00;0.11;11.17;179.80;
100;5563.80;0.87;87.24;18567.40;
137;14484.29;0.92;92.28;64463.80;
150;16502.65;1.07;106.79;27904.40;
200;38484.37;1.42;142.41;41920.20;
nn: false ; neighbourhood: swap ; tabu list size: 100 ; cadence: 100
V;sredniczas[ms];sredniwzgledny;sredniWzg[%];sredniBezWzg
5;0.03;0.00;0.00;0.00;
6;0.04;0.00;0.00;0.00;
7;0.04;0.00;0.00;0.00;
8;0.12;0.00;0.00;0.00;
9;0.96;0.00;0.00;0.00;
10;0.63;0.00;0.00;0.00;
11;3.39;0.00;0.00;0.00;
12;28.62;0.00;0.23;0.40;
13;61.95;0.00;0.46;0.80;
5;0.03;0.00;0.00;0.00;
6;0.04;0.00;0.00;0.00;
7;0.05;0.00;0.00;0.00;
8;0.30;0.00;0.00;0.00;
9;0.73;0.00;0.00;0.00;
10;0.25;0.00;0.00;0.00;
11;0.30;0.00;0.00;0.00;
12;0.91;0.00;0.00;0.00;
13;0.76;0.00;0.00;0.00;
17;217.39;0.10;10.39;8.00;
34;806.38;0.27;27.12;348.80;
65;3152.00;0.54;54.50;1002.20;
100;16499.86;0.56;56.13;20337.00;
171;41539.86;1.71;170.86;4707.20;
14;66.09;0.01;1.32;44.00;
29;536.21;0.11;11.04;177.80;
100;10009.59;0.96;96.24;20480.80;
137;21931.51;0.86;85.64;59822.80;
150;28230.18;1.29;128.85;33669.40;
200;70417.29;1.27;126.53;37246.00;
nn: false ; neighbourhood: 2opt ; cooling: geo ; alfa: 0.99 ; T_max: 1000
V;sredniczas[ms];sredniwzgledny;sredniWzg[%];sredniBezWzg
5;0.56;0.00;0.00;0.00;
